2026-04-18 12:18:51,909 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\2012 M and S Standard Plans Book Issuance Letter to RTDs.pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\2012 M and S Standard Plans Book Issuance Letter to RTDs.pdf
2026-04-18 12:18:53,163 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\2012 M-S Standard Plans Book(1).pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\2012 M-S Standard Plans Book(1).pdf
2026-04-18 12:18:53,197 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\281041824-Cement-Concrete-Pavement-Analysis.pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\281041824-Cement-Concrete-Pavement-Analysis.pdf
2026-04-18 12:18:53,212 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\352429636-CDOT-2017-11-Chapter-7-Principle-of-Design-of-Rigid-Pavement.pdf
2026-04-18 12:18:53,221 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\chap16_joints_for_reinforced_concrete_971.pdf
2026-04-18 12:18:53,228 | INFO | SKIPPED (not drawing): E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\CV761_03_Rigid-Pavement.pdf
2026-04-18 12:18:53,302 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\designofrigitpavement-180603141546.pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\designofrigitpavement-180603141546.pdf
2026-04-18 12:18:53,310 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\DOWEL BASKET.JPG \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\DOWEL BASKET.JPG
2026-04-18 12:18:53,337 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\irc 15 page 32-33 for dowel bar spacing.JPG \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\irc 15 page 32-33 for dowel bar spacing.JPG
2026-04-18 12:19:00,923 | INFO | COPIED: E:\BRIDGE DESIGN\0 DOWEL BARS IN CC PAVEMENT\IRC-58-2015.pdf \u2192 C:\Filtered_Drawings\0 DOWEL BARS IN CC PAVEMENT\IRC-58-2015.pdf
